"","country","comments","ratingbadge","ratingscore","checkin","typetripnights"
"33","as","i booked this hotel by mistake!  but i never regret it!  a strongly recommended hotel in jogja for you to set up rendezvous with your friends, reunion or having fun!  thankyou for the best service we had !!    firdaus","Sempurna","10,0","  25 Jan 2018","Liburan bersama teman 1 malam"
"34","sg","All the staff were friendly, smiling and helpful - top notch service!","Sempurna","10,0","  14 Feb 2018","Perjalanan 3 malam"
"35","my","Great service...all the staff were very polite and helpful. The room was clean and the bed very comfortable. Breakfast was good but after awhile it can be boring as almost the same kind of food were being served everyday. The hotel has a very good patisserie on the ground floor as all their pastries and cakes were very delicious. It would be great if the Hotel can provide a free shuttle service to the main street which is not too far from the Hotel. Though it is only a walking distance of about 20 mins but the weather can be very hot and sometimes raining - not conducive to walk.   Overall it's a great hotel and I would certainly recommend my friends to stay here.","Bagus Sekali","8,0","  21 Jan 2018","Jalan-jalan keluarga 4 malam"
"36","sg","Check in Staff , uncooperative tonattend my request!  Early Check out same staff did not inform restaurant to prepare box breakfast, was told to wait! Waited for 20 minutes!   Will not stay here or recommend to Friend !","Buruk","2,0","  18 Jan 2018","Perjalanan 3 malam"
"37","as","Overall is good hotel and friendly staff until when I want to one lady in receptionist at 10.30 am that I want late check out until 13.00, she is only say ""please makesure 13.00 maximum because we have full guest"", she said it without any smile to me, very bad attitude...not nice...","Bagus Sekali","8,0","  25 Agt 2017","Liburan bersama teman 1 malam"
"38","gb","Stayed overnight with family to visit Borobudur next day. Though short, it was an excellent stay.","Sempurna","10,0","  29 Jul 2017","Perjalanan 1 malam"
"39","sg","Love everything abt the hotel - the friendly staff, the beautiful lobby, the cosy room, the good food at the cafe. Wide variety for buffet breakfast and dinner.","Sempurna","10,0","  2 Agt 2017","Perjalanan 3 malam"
"40","us","Love this hotel.. but no handle shower & the  water must be turn into max speed to get hot water..","Sempurna","10,0","  21 Jul 2017","Perjalanan 1 malam"
"41","as","It was very nice.... the service, the room... we would definitely will be back !","Sempurna","10,0","  19 Jun 2017","Jalan-jalan keluarga 3 malam"
"42","nl","Mooi en vrij nieuw hotel. Alleen zijn de kamers niet al te groot maar wel schoon en een goed bed.","Bagus","6,0","  21 Jan 2020","Liburan romantis 1 malam"
"43","nl","Hotel is schoon. Goede service. Ontbijt is uitgebreid. Personeel is top! Niets is teveel!","Sempurna","10,0","  2 Sep 2019","Liburan romantis 6 malam"
"44","es","Hotel cómodo  para visitar la ciudad   Los desayunos perfectos   Comimos la habitación y bien.  La piscina en sombra pequeña ","Bagus Sekali","8,0","  7 Agt 2019","Liburan romantis 3 malam"
"45","jp","Clean and comfortable","Sempurna","10,0","  10 Agt 2019","Perjalanan 3 malam"
"46","fr","Good  location in the city center very good service from all the staff ! The restaurant buffet is very nice for breakfast and thematic dinner ( seafood on week ends ) ","Bagus Sekali","8,0","  3 Agt 2019","Perjalanan 2 malam"
"47","fr","Great location and super friendly staff with very helpful front office manager ! I try massage restaurant pool bar ! Everything smooth and professional ","Sempurna","10,0","  30 Jul 2019","Liburan romantis 4 malam"
"48","nl","Hele goede service en heel vriendelijke personeel. De enige wat minder was , omdat wij op de laatste dag beetje vieze water uit de kraan kregen ,  maar het was wel weer goed opgelost. Over algemeen was  het goed. Top hotel!!.","Sempurna","10,0","  1 Agt 2019","Jalan-jalan keluarga 2 malam"
"49","jp","<U+671D><U+98DF><U+306E><U+6599><U+7406><U+306E><U+6599><U+7406><U+6570><U+306F><U+3068><U+3066><U+3082><U+591A><U+304F><U+3066><U+3001><U+3069><U+308C><U+3092><U+98DF><U+3079><U+308B><U+304B><U+6BCE><U+56DE><U+8FF7><U+3046><U+307B><U+3069><U+3067><U+3057><U+305F><U+3002><U+30D0><U+30B9><U+30EB><U+30FC><U+30E0><U+306B><U+306F><U+30D0><U+30B9><U+30BF><U+30D6><U+304C><U+306A><U+3044><U+3002><U+5E83><U+3044><U+30C0><U+30D6><U+30EB><U+30D9><U+30C3><U+30C8><U+3060><U+3063><U+305F><U+304C><U+3001><U+4E8C><U+4EBA><U+3067><U+5BDD><U+308B><U+306B><U+306F><U+3001><U+5C11><U+3057><U+72ED><U+3044><U+3002><U+30C1><U+30A7><U+30C3><U+30AF><U+30A2><U+30A6><U+30C8><U+306E><U+65E5><U+306E><U+524D><U+65E5><U+306B><U+3001><U+7A7A><U+6E2F><U+306B><U+884C><U+304F><U+305F><U+3081><U+306E><U+3001><U+30BF><U+30AF><U+30B7><U+30FC><U+3092><U+304A><U+9858><U+3044><U+3057><U+3066><U+3044><U+305F><U+3089><U+3001><U+6642><U+9593><U+901A><U+308A><U+306B><U+3001><U+304D><U+305F><U+3002><U+30D5><U+30ED><U+30F3><U+30C8><U+3067><U+96FB><U+8ECA><U+306E><U+6642><U+523B><U+3092><U+805E><U+3044><U+305F><U+3089><U+3001><U+30CD><U+30C3><U+30C8><U+3067><U+8ABF><U+3079><U+3066><U+304F><U+308C><U+305F><U+3002><U+30DE><U+30EA><U+30AA><U+30DC><U+30ED><U+901A><U+308A><U+307E><U+3067><U+3001><U+6B69><U+3044><U+3066>10<U+5206><U+7A0B><U+5EA6><U+306E><U+3068><U+3053><U+308D><U+306B><U+3042><U+308B><U+306E><U+3067><U+3001><U+4FBF><U+5229><U+3002>","Bagus Sekali","8,0","  15 Jul 2019","Jalan-jalan keluarga 3 malam"
"50","jp","<U+7E41><U+83EF><U+8857><U+306B><U+4F4D><U+7F6E><U+3057><U+3066><U+3044><U+3066><U+30B3><U+30F3><U+30D3><U+30CB><U+3082><U+8FD1><U+3044><U+3002><U+30B9><U+30BF><U+30C3><U+30D5><U+306E><U+5BFE><U+5FDC><U+3084><U+8A2D><U+5099><U+306F><U+6587><U+53E5><U+306A><U+3057><U+3002> <U+671D><U+98DF><U+3082><U+7A2E><U+985E><U+8C4A><U+5BCC><U+3067><U+7F8E><U+5473><U+3057><U+304B><U+3063><U+305F><U+3067><U+3059><U+3002>","Sempurna","10,0","  26 Apr 2019","Perjalanan 1 malam"
