"","country","comments","ratingbadge","ratingscore","checkin","typetripnights"
"11","sg","Great Staff and also great details , like pack breakfast for early tour and departures , great pick up and transport for free to guest to the airport and to town . But the hotel would need some new work and renovation like the pool and kidsclub . not sure if the pool filter and pump was working . also the pool surrounding need more regular cleaning and sweeping to prevent dirty from getting into the pool .","Bagus Sekali","8,0","  30 Nov 2019","Jalan-jalan keluarga 5 malam"
"12","hk","The hotel and its grounds is beautiful and clean.   It does feel a bit old and in need of updating.  The staff is very helpful and very friendly. The bedroom is quite spacious and comfortable. Unfortunately, due to its proximity to a mosque, I was awakened every night at 3:45AM by their call to prayer which lasts for at least 30 minutes.  I would be careful to choose the location of the hotel next time.","Bagus Sekali","8,0","  6 Des 2019","Liburan romantis 2 malam"
"13","gb","Staff at this hotel were superb! It is undergoing some refurbishment and our room could of been better but was OK for the few days we were in Yogyakarta.","Sempurna","10,0","  5 Agt 2019","Liburan romantis 3 malam"
"14","gb","I realized that the property is so peace & quiet. It is a place to relax...","Bagus Sekali","8,0","  23 Jun 2019","Jalan-jalan keluarga 1 malam"
"15","my","The staff are friendly and responsive. I would like to stay here for my next vacation.","Sempurna","10,0","  26 Mar 2019","Perjalanan bisnis 1 malam"
"16","gb","Very large resort hotel close to Yogyakarta airport. Just what we needed after two days of walking and cycling around temples and villages. The large outdoor pool with swim-up bar was nice but not great for laps. Service was 5* and they run a free airport shuttle service every 30 minutes (takes 5 minutes to reach the airport).    The only negatives were that flannels were not provided, the bed had a very slight musty smell (like the room had not been used for a while) and the aircon was either on or off. The temperature can't be controlled from each room. Everything else was great. Phenomenal for the price.","Sempurna","10,0","  6 Feb 2019","Liburan romantis 1 malam"
"17","sg","Staff are extremely professional, whether from front desk, restaurant, concierge or housekeeping.","Sempurna","10,0","  13 Des 2018","Perjalanan 4 malam"
"18","sg","I & my family have a fantastic experience staying in Sheraton Mutika. The hotel is beautiful nicely decorated, clean & comfortable. The staff are fantastically courteous, very helpful & with top class service. Unfortunately the only negative parts are the hotel sliding wadrobe which we found already old & worn difficult to slide to open & also the swimming pool male toilet which is not so clean and also with lack of liquid soap. Hopefully these 2 areas can be easily upgraded to make it a perfect top class hotel.","Sempurna","10,0","  9 Nov 2018","Jalan-jalan keluarga 2 malam"
"19","my","Nice hotel","Bagus Sekali","8,0","  19 Nov 2018","Perjalanan 4 malam"
"20","my","Staff very helpful and polite. Special thanks to check in staff encik Andik for making our stay more memorable. Spacious and room.","Sempurna","10,0","  21 Nov 2018","Perjalanan 2 malam"
"21","au","Very nice place to stay & I love to go back there again someday","Sempurna","10,0","  18 Nov 2018","Perjalanan 3 malam"
"22","us","Nothing good Bad breakfast. Tissue which comes in a new box contain less than 20 shrs","Biasa","4,0","  3 Okt 2018","Perjalanan 3 malam"
"23","au","We booked a suite which was a fantastic room. The pools are absolutely magnificent. The staff were all fantastic. Breakfast too was absolutely magnificent.   Room service and everything else at the hotel is very very expensive. I bought a small bottle of coke from the drug store / snack  / souvenir shop and was asked to pay 30000 rupiah. Anywhere else and you would pay 5000.  We had our 2 boys with us one a 6 month old baby and our 3 year old. We needed an extra bed for our 3 year old and we're charged 400000 rupiah per night. Way too expensive.  To be fair we were given a crib for free.   There was no access for a pram from the main lobby to the drop off pick up area. You have to go down a floor via the elevator and walk around. We learnt that on our 3rd day there. A ramp could easily be installed surely. In saying that,  the staff were always ready to help us.   Besides the negatives we did enjoy our stay there. I would recommend the hotel to a couple but probably not for a family. ","Bagus","6,0","  15 Agt 2018","Perjalanan 3 malam"
"24","sg","It’s an okay stay. Not quite the Sheraton I’ve expected","Bagus Sekali","8,0","  6 Agt 2018","Perjalanan 2 malam"
"25","us","The place kind of old so has smell. The furnitures also old. But the service is good","Bagus","6,0","  7 Jul 2018","Jalan-jalan keluarga 2 malam"
"26","us","This was, without a doubt, the best hotel I stayed in for some time. Mainly because ALL the staff went out of their way to make me and my parents feel welcome and special. Not only do they know your last name but they know the room number, too. They are delighted you are their guest. I currently live in the UK and I assure you this is not the feeling you get in any hotel. The grounds are really beautiful. We thought it was an old castle that was converted but this was not the case. The pool is exquisite and clean. The spa is really nice, too. The food is nice for breakfast. We also had lunch twice and it was good.","Sempurna","10,0","  18 Jul 2018","Perjalanan 3 malam"
"27","us","Very good hotel, the only issue we had was at the beginning the temperature on the hot water was extremely sensitive. We did notify the hotel and they did fix the problem.","Sempurna","10,0","  17 Jun 2018","Perjalanan 6 malam"
"28","au","The hotel is big and old. I like the appearance, although the aircon was freezing, we almost never turn it on (still freezing on setting of 25degrees). My husband noted the damp smell of the rooms and some molds in some areas. Otherwise i was happy. We were given rooms that were so noisy due to some repair work they were doing, which is rather annoying. The staff tried to rectify the issue by moving us to other rooms but it probably took like 2 hours for the other rooms to be ready. Otherwise the staff are fantastic and polite. The hotel is amazing with 2 pools and lots of areas to sit around. Love the toilet and bathtub. They provide shuttles to malioboro and airport too. I am overall pretty happy.","Bagus","6,0","  23 Mei 2018","Perjalanan 2 malam"
"29","sg","Service is just WOW. I swear this is the place to stay at! Booked a club room and had to check out at 5:30am when breakfast starts only at 7am, told the check-in staff about it and he actually offered us sandwiches with fries to be prepared on the day of check-out. LOVE his passion for the job.","Sempurna","10,0","  20 Mei 2018","Liburan romantis 1 malam"
"30","sg","The location is too far from the attraction place but the rest is good","Sempurna","10,0","  7 Mei 2018","Perjalanan bersama teman"
"31","my","convenience and very peaceful place for honeymooners","Bagus Sekali","8,0","  2 Mei 2018","Perjalanan 3 malam"
"32","au","Excellent location. Ganesha restaurant excellent.  Courteous staff. However, they are not very efficient. Room service takes ages.  Can be recommended only if price is lower  ","Bagus","6,0","  23 Apr 2018","Perjalanan 3 malam"
"33","gb","Very good value for money. 5 star facilities for 3- star price. The Indian restaurant, Ganesha, was outstanding. Excellent selection of vegetarian Indian food, all very well prepared. ","Sempurna","10,0","  19 Apr 2018","Perjalanan 2 malam"
"34","sg","Good service, friendly staff.","Sempurna","10,0","  20 Apr 2018","Perjalanan keluarga"
"35","id","Everything was ok. But the furniture needs an update.","Sempurna","10,0","  17 Apr 2018","Perjalanan keluarga"
"36","us","The hotel staff was amazing very accommodating, when I had an issue with my flights to Bali they were very willing to assist in getting the issue resolved.  All the staff was very professional","Bagus Sekali","8,0","  12 Apr 2018","Perjalanan keluarga"
"37","ca","The hotel staff was very accommodating. They upgrade a room for being a gold member, allowed me late check out and prepared a breakfast box when going out at 3:30 am. I loved cool ginger and cinnamon drink and foods at the club lounge.","Sempurna","10,0","  4 Apr 2018","Perjalanan bisnis"
"38","gb","Great experience and very spacious, luxurious rooms. Excellent breakfast at great value!","Sempurna","10,0","  4 Mar 2018","Perjalanan bisnis 4 malam"
"39","sg","The hotel was great. The staff was very friendly, do enjoy the spa and  the massage was wonderful. Highly recommend and will be back for my next holiday. Excellent.","Sempurna","10,0","  5 Mar 2018","Liburan romantis 1 malam"
"40","us","Why this hotel just have 4.5 stars not 5 stars","Sempurna","10,0","  27 Feb 2018","Perjalanan keluarga"
"41","sg","The shuttle services are commendable. It is very prompt and convenient. Thank you.","Sempurna","10,0","  15 Feb 2018","Perjalanan 4 malam"
"42","my","We stayed here for 9 days. The hotel staff were very friendly and accommodating. Having access to the lounge was very helpful to keep the kids occupied when not out. Traffic is big issue so getting anywhere takes time. Was very surprised to find out later on in my stay that you cannot change any foreign money at the hotels. I do not know whether this was limited to this city or all of Indonesia. ","Bagus Sekali","8,0","  22 Des 2017","Perjalanan 9 malam"
"43","as","The staff is very friendly and helpful but the hotel is too old in general and facilities are mostly worn out. The room was smelly at first, the ac took hours to turn down, the water kettle was not functioning, the hairdryer surface was melted.","Biasa","4,0","  22 Des 2017","Jalan-jalan keluarga 3 malam"
"44","us","Lord... the restaurant or 8th floor was the only place to see the volcano.  It was so sad to fly 14 hours to have an aerial view of the garden and not have “room with volcano view” as requested.   It’s the rainy season and getting drenched daily without a warm hair dryer, a heating blanket, nor central air with a heat function was great.   The ginger tea in the foyer induced indigestion in several guests.  It is a lovely hotel for landscaping but the grounds are lacking any overall features.  No sky garden or easy access to the lounge when restless nor faster than 40 minutes for requested items.   If not for my other half there, I wouldn’t stay there.  Need shuttle or taxi as nothing in local area for excursions.","Biasa","4,0","  23 Nov 2017","Liburan romantis 3 malam"
"45","us","Hotel was old and outdated.  Bathroom and facilities needing to be udpated.  Room was damp.  ","Bagus","6,0","  25 Nov 2017","Perjalanan 1 malam"
"46","sg","What I like  - Complimentary airport transfer to hotel  - Shuttle service to the local mall (don't hold high hopes on the mall)  - good quality comfort  - buffet breakfast    What I did not like  - House keeping did not clean the cups.  Could still see the obvious coffee and tea stains  - Water pressure in the showers was weak  - Bed was creaking. Could do with a new mattress  - Room was not sound proof.  Could hear the family in the next room chatting away. Could be an issue if you are a light sleeper","Bagus Sekali","8,0","  7 Sep 2017","Perjalanan 2 malam"
"47","ca","It has been really nice to stay at this hotel. The service and staff hospitality is great. In term of the food, there are a lot of varieties of food for breakfast however mostly the food is not hot enough to be served.  Overall it was a great experience to stay at this hotel.","Bagus","6,0","  25 Jul 2017","Perjalanan 3 malam"
"48","jp","<U+89AA><U+5207><U+4E01><U+5BE7><U+306A><U+5BFE><U+5FDC><U+3067><U+6E80><U+8DB3><U+3057><U+3066><U+3044><U+307E><U+3059><U+3002>","Sempurna","10,0","  13 Mar 2020","Perjalanan 1 malam"
"49","jp","<U+843D><U+3061><U+7740><U+3044><U+305F><U+96F0><U+56F2><U+6C17><U+306E><U+30EA><U+30BE><U+30FC><U+30C8><U+30DB><U+30C6><U+30EB><U+3002><U+30EC><U+30B9><U+30C8><U+30E9><U+30F3><U+3084><U+30D0><U+30FC><U+4EE5><U+5916><U+306B><U+3082><U+3001><U+571F><U+7523><U+5C4B><U+3084><U+30AB><U+30D5><U+30A7><U+304C><U+3042><U+308A><U+307E><U+3059><U+3002><U+30D0><U+30FC><U+306F><U+89AA><U+5207><U+3067><U+3001><U+30B9><U+30CA><U+30C3><U+30AF><U+3092><U+30B5><U+30FC><U+30D3><U+30B9><U+3057><U+3066><U+304F><U+308C><U+307E><U+3057><U+305F><U+3002><U+30B3><U+30F3><U+30B7><U+30A7><U+30EB><U+30B8><U+30E5><U+3082><U+30BF><U+30AF><U+30B7><U+30FC><U+306E><U+624B><U+914D><U+306A><U+3069><U+30B9><U+30E0><U+30FC><U+30BA><U+3001><U+77ED><U+671F><U+9593><U+3067><U+3082><U+4E16><U+754C><U+907A><U+7523><U+307E><U+3067><U+554F><U+984C><U+306A><U+304F><U+5F80><U+5FA9><U+3067><U+304D><U+307E><U+3057><U+305F><U+3002>","Sempurna","10,0","  3 Mar 2020","Liburan romantis 1 malam"
"50","kr","<U+AC00><U+C871> <U+C5EC><U+D589><U+C73C><U+B85C> <U+C774><U+C6A9><U+D588><U+C2B5><U+B2C8><U+B2E4>. <U+C9C1><U+C6D0><U+B4E4><U+C758> <U+CE5C><U+C808><U+B3C4><U+B294> <U+B9E4><U+C6B0> <U+C88B><U+C2B5><U+B2C8><U+B2E4>. <U+ADF8><U+B9AC><U+ACE0> <U+ACF5><U+D56D><U+C5D0><U+C11C> <U+B9E4><U+C6B0> <U+AC00><U+AE4C><U+C6B4> <U+C810><U+B3C4> <U+C7A5><U+C810><U+C785><U+B2C8><U+B2E4>. <U+B2E4><U+B9CC>, <U+C250><U+B77C><U+D1A4> <U+BE0C><U+B79C><U+B4DC><U+C5D0> <U+AC78><U+B9DE><U+C9C0> <U+C54A><U+B294> <U+C810> <U+BA87><U+AC00><U+C9C0><U+B97C> <U+B4E4><U+BA74>, - <U+C804><U+CCB4><U+C801><U+C73C><U+B85C> <U+B0B4><U+BD80><U+C2DC><U+C124><U+C774> <U+B9CE><U+C774> <U+B099><U+D6C4><U+B418><U+C5C8><U+C2B5><U+B2C8><U+B2E4>. - <U+AC1D><U+C2E4><U+C774> <U+CCAD><U+ACB0><U+D558><U+C9C0> <U+C54A><U+C2B5><U+B2C8><U+B2E4>. <U+BC8C><U+B808><U+B4E4><U+C774> <U+BCF4><U+C77C> <U+C815><U+B3C4><U+C785><U+B2C8><U+B2E4>. - <U+C695><U+C2E4> <U+C218><U+C555><U+C774> <U+C57D><U+D569><U+B2C8><U+B2E4>. <U+C804><U+BC18><U+C801><U+C73C><U+B85C> <U+C2DC><U+C124> <U+AC1C><U+C120><U+C774> <U+D544><U+C694><U+D558><U+B2E4><U+ACE0> <U+C0DD><U+AC01><U+D569><U+B2C8><U+B2E4>.","Bagus","6,0","  15 Jan 2020","Jalan-jalan keluarga 3 malam"
